State,Year,Deaths,Population,crudemort_rate,Mort_rate
Nebraska,2003,15465,1738643,889.49,0.889486801
Nevada,2003,17858,2248850,794.09,0.79409476
New Hampshire,2003,9708,1279840,758.53,0.758532317
New Jersey,2003,73689,8601402,856.71,0.856709174
New Mexico,2003,14805,1877574,788.52,0.788517523
New York,2003,155877,19175939,812.88,0.812878055
North Carolina,2003,73459,8422501,872.18,0.872175616
North Dakota,2003,6090,638817,953.32,0.953324661
Ohio,2003,109110,11434788,954.19,0.954193466
Oklahoma,2003,35721,3504892,1019.18,1.019175484
Oregon,2003,30912,3547376,871.4,0.871404666
Pennsylvania,2003,129769,12374658,1048.67,1.048667365
Rhode Island,2003,10039,1071342,937.05,0.937049047
South Carolina,2003,38112,4150297,918.3,0.918295727
South Dakota,2003,7132,763729,933.84,0.933839097
Tennessee,2003,57313,5847812,980.08,0.980075967
Texas,2003,154870,22030931,702.97,0.702966207
Utah,2003,13412,2360137,568.27,0.568272096
Vermont,2003,5120,617858,828.67,0.828669371
Virginia,2003,58282,7366977,791.13,0.791125044
Washington,2003,45920,6104115,752.28,0.752279405
West Virginia,2003,21306,1812295,1175.64,1.175636417
Wisconsin,2003,46177,5479203,842.77,0.842768556
Wyoming,2003,4172,503453,828.68,0.828677156
Alabama,2004,46121,4530729,1017.96,1.017959803
Alaska,2004,3051,659286,462.77,0.462773364
Arizona,2004,43198,5652404,764.24,0.764241197
Arkansas,2004,27528,2749686,1001.13,1.001132493
California,2004,232525,35574576,653.63,0.653626905
Colorado,2004,28309,4575013,618.77,0.618774198
Connecticut,2004,29314,3496094,838.48,0.838478599
Delaware,2004,7143,830803,859.77,0.859770607
District of Columbia,2004,5454,567754,960.63,0.960627314
Florida,2004,169008,17415318,970.46,0.970456009
Georgia,2004,65818,8769252,750.55,0.750554323
Hawaii,2004,9030,1273569,709.03,0.709031077
Idaho,2004,10028,1391802,720.5,0.720504784
Illinois,2004,102670,12589773,815.5,0.815503187
Indiana,2004,54211,6233007,869.74,0.869740721
Iowa,2004,26897,2953635,910.64,0.910640617
Kansas,2004,23818,2734373,871.06,0.871058923
Kentucky,2004,38646,4146101,932.1,0.932104645
Louisiana,2004,42215,4552238,927.35,0.927346066
Maine,2004,12443,1313688,947.18,0.947180761
Maryland,2004,43232,5546935,779.39,0.779385372
Massachusetts,2004,54511,6412281,850.1,0.850103107
Michigan,2004,85169,10055315,847,0.847004793
Minnesota,2004,37034,5087713,727.91,0.727910556
Mississippi,2004,27871,2889010,964.72,0.96472494
Missouri,2004,53950,5747741,938.63,0.938629629
Montana,2004,8094,930009,870.31,0.870314158
Nebraska,2004,14657,1749370,837.84,0.837844481
Nevada,2004,17929,2346222,764.16,0.764164687
New Hampshire,2004,10111,1290121,783.72,0.783724937
New Jersey,2004,71371,8634561,826.57,0.82657358
New Mexico,2004,14298,1903808,751.02,0.751021111
New York,2004,152681,19171567,796.39,0.796392908
North Carolina,2004,72384,8553152,846.28,0.846284504
North Dakota,2004,5601,644705,868.77,0.868769437
Ohio,2004,106288,11452251,928.1,0.928097018
Oklahoma,2004,34483,3525233,978.18,0.978176478
Oregon,2004,30313,3569463,849.23,0.849231383
