State,Year,.Under 5 years,.5 to 9 years,.10 to 14 years,.15 to 19 years,.20 to 24 years,.25 to 29 years,.30 to 34 years,.35 to 39 years,.40 to 44 years,.45 to 49 years,.50 to 54 years,.55 to 59 years,.60 to 64 years,.65 to 69 years,.70 to 74 years,.75 to 79 years,.80 to 84 years,.85 years and over,MALE,FEMALE
West Virginia,2004,"103,576","103,541","115,103","119,335","123,968","106,941","114,915","117,814","132,707","142,836","139,283","121,776","94,702","80,881","67,267","59,015","41,085","31,693","889,411","927,027"
West Virginia,2005,"103,638","103,395","113,094","119,757","121,477","108,894","113,756","116,806","130,403","141,975","140,412","128,550","97,074","81,299","67,292","58,878","41,836","31,956","892,802","927,690"
West Virginia,2006,"103,572","103,744","111,958","120,417","119,150","111,694","109,983","118,523","127,919","140,878","141,065","135,802","99,102","82,672","67,806","58,431","42,351","32,845","897,307","930,605"
West Virginia,2007,"104,231","104,377","109,958","121,325","117,395","111,690","109,162","119,170","125,494","138,331","142,362","135,790","107,292","85,109","68,389","57,299","42,779","33,899","901,369","932,683"
West Virginia,2008,"104,966","105,427","109,047","121,453","115,487","111,645","108,886","119,417","123,320","135,640","143,211","137,447","112,450","88,179","69,894","55,888","43,628","34,325","905,399","934,911"
West Virginia,2009,"104,536","106,199","108,873","121,260","116,191","110,428","110,708","117,816","121,308","134,200","143,370","138,285","119,652","90,014","71,699","54,726","43,126","35,384","910,341","937,434"
West Virginia,2010,"103,808","105,939","108,966","119,450","117,542","108,803","113,107","116,220","120,101","132,148","143,329","140,001","126,440","92,198","72,058","54,561","43,184","36,118","914,233","939,740"
Wisconsin,2000,"342,343","378,057","404,990","408,587","359,318","331,605","372,507","433,526","441,231","400,058","337,938","254,472","206,020","181,586","173,017","146,959","105,684","96,101","2,654,764","2,719,235"
Wisconsin,2001,"343,418","371,313","405,683","415,104","366,528","321,159","371,041","421,120","448,007","409,232","357,871","261,591","209,863","180,700","172,735","146,628","107,607","97,235","2,673,188","2,733,647"
Wisconsin,2002,"344,897","365,759","405,387","416,509","377,978","318,159","367,381","409,753","449,471","417,670","363,810","282,950","216,927","181,790","170,366","147,535","109,692","99,128","2,693,465","2,751,697"
Wisconsin,2003,"346,753","360,517","404,209","415,257","389,113","320,370","361,224","397,051","448,010","426,297","374,088","294,825","228,351","184,803","167,886","147,986","111,138","101,325","2,712,302","2,766,901"
Wisconsin,2004,"349,102","358,123","400,900","415,552","394,437","325,685","353,980","385,542","445,558","433,557","385,152","311,885","236,262","189,490","165,130","147,480","112,876","103,315","2,731,348","2,782,678"
Wisconsin,2005,"349,484","357,345","394,312","415,890","398,373","330,720","347,477","379,329","437,608","440,433","396,444","331,101","243,626","192,439","163,599","147,951","114,483","105,552","2,749,105","2,797,061"
Wisconsin,2006,"350,890","359,682","388,191","414,706","399,903","340,183","337,939","376,007","425,318","446,692","405,963","350,824","250,399","196,194","163,347","148,427","114,663","108,327","2,765,379","2,812,276"
Wisconsin,2007,"355,343","361,374","383,257","412,836","394,654","352,979","335,350","370,002","413,367","448,284","414,618","356,728","271,115","203,054","164,340","146,580","115,786","111,108","2,782,993","2,827,782"
Wisconsin,2008,"357,921","364,638","378,544","410,087","390,094","363,474","338,218","361,620","399,370","447,417","423,776","366,886","283,089","213,709","167,097","144,492","116,703","113,861","2,798,728","2,842,268"
Wisconsin,2009,"358,370","368,030","376,577","404,881","388,316","369,013","344,706","352,114","386,971","444,284","430,967","377,794","299,305","221,279","171,459","142,128","116,685","116,385","2,813,161","2,856,103"
Wisconsin,2010,"357,892","368,620","375,702","397,204","387,530","373,301","351,732","342,821","379,913","435,630","436,814","388,020","316,485","228,239","174,156","140,872","116,982","119,134","2,824,977","2,866,070"
Wyoming,2000,"30,890","33,938","38,454","42,004","33,627","29,767","29,727","36,303","42,348","40,899","33,658","25,068","19,733","16,594","14,760","11,862","7,882","6,786","248,716","245,584"
Wyoming,2001,"30,891","32,786","37,573","41,632","35,140","28,731","29,888","34,198","41,666","41,669","35,957","25,692","20,329","16,812","14,827","11,906","8,068","6,892","249,330","245,327"
Wyoming,2002,"31,572","32,457","36,994","40,947","37,471","28,894","30,614","32,453","40,716","42,723","36,629","28,060","21,348","17,033","14,997","11,907","8,283","6,919","252,232","247,785"
Wyoming,2003,"32,033","32,163","36,411","40,157","39,157","28,976","30,647","31,133","39,372","42,918","37,974","29,718","22,599","17,549","14,944","12,048","8,596","7,058","254,325","249,128"
Wyoming,2004,"32,665","31,954","36,332","39,553","40,438","30,233","30,802","30,375","38,218","42,815","39,499","31,434","23,612","18,151","14,722","12,258","8,857","7,188","257,600","251,506"
Wyoming,2005,"33,438","32,303","35,448","38,916","40,610","31,794","30,850","30,506","36,622","42,617","40,741","33,576","24,549","18,618","14,814","12,358","8,932","7,465","260,431","253,726"
Wyoming,2006,"34,747","32,939","34,764","38,760","40,907","34,117","30,737","31,309","35,236","42,386","42,001","36,156","25,298","19,182","15,109","12,379","8,919","7,721","265,306","257,361"
Wyoming,2007,"36,862","34,079","34,776","38,640","40,998","36,938","31,512","32,604","33,947","41,757","43,339","36,968","27,692","20,119","15,248","12,499","9,013","7,885","272,100","262,776"
Wyoming,2008,"38,177","35,372","35,210","38,839","40,892","38,737","32,703","33,394","33,396","41,106","43,873","38,317","29,349","21,158","15,808","12,458","9,103","8,151","278,061","267,982"
Wyoming,2009,"39,978","36,643","35,772","39,062","40,941","41,218","34,996","33,966","33,129","40,496","44,045","40,088","30,910","22,239","16,318","12,303","9,340","8,407","285,805","274,046"
Wyoming,2010,"40,190","37,305","36,034","38,047","40,527","41,505","36,722","33,557","33,018","39,249","44,139","41,125","32,817","23,080","16,646","12,436","9,410","8,653","287,946","276,514"
